Date,EUR,RON,RUB,UAH,USD
2021-01-01,21.1266,4.3340,0.2312,0.6075,17.2146
2021-01-02,21.1266,4.3340,0.2312,0.6075,17.2146
2021-01-03,21.1266,4.3340,0.2312,0.6075,17.2146
2021-01-04,21.0998,4.3345,0.2298,0.6067,17.1913
2021-01-05,21.1326,4.3398,0.2341,0.6044,17.1886
2021-01-06,21.1282,4.3372,0.2301,0.6078,17.2005
2021-01-07,21.1282,4.3372,0.2301,0.6078,17.2005
2021-01-08,21.1282,4.3372,0.2301,0.6078,17.2005
2021-01-09,21.1282,4.3372,0.2301,0.6078,17.2005
2021-01-10,21.1282,4.3372,0.2301,0.6078,17.2005
2021-01-11,21.2185,4.3569,0.2335,0.6085,17.1997
2021-01-12,20.9289,4.2967,0.2305,0.6110,17.2021
2021-01-13,20.9444,4.2994,0.2326,0.6147,17.2360
2021-01-14,20.9841,4.3058,0.2337,0.6168,17.2531
2021-01-15,20.9996,4.3095,0.2358,0.6162,17.2814
2021-01-16,20.9996,4.3095,0.2358,0.6162,17.2814
2021-01-17,20.9996,4.3095,0.2358,0.6162,17.2814
2021-01-18,20.9571,4.3004,0.2352,0.6156,17.2856
2021-01-19,20.8746,4.2828,0.2330,0.6132,17.3025
2021-01-20,21.0309,4.3143,0.2350,0.6166,17.3400
2021-01-21,21.0955,4.3282,0.2367,0.6165,17.4150
2021-01-22,21.1921,4.3476,0.2364,0.6167,17.4521
2021-01-23,21.1921,4.3476,0.2364,0.6167,17.4521
2021-01-24,21.1921,4.3476,0.2364,0.6167,17.4521
2021-01-25,21.2947,4.3687,0.2335,0.6207,17.4849
2021-01-26,21.2242,4.3540,0.2319,0.6202,17.4569
2021-01-27,21.0973,4.3276,0.2312,0.6175,17.3833
2021-01-28,21.0295,4.3139,0.2294,0.6161,17.3561
2021-01-29,20.9355,4.2948,0.2267,0.6143,17.2992
2021-01-30,20.9355,4.2948,0.2267,0.6143,17.2992
2021-01-31,20.9355,4.2948,0.2267,0.6143,17.2992
2021-02-01,21.0099,4.3101,0.2284,0.6160,17.3227
2021-02-02,20.9071,4.2897,0.2284,0.6168,17.3044
2021-02-03,20.8380,4.2751,0.2285,0.6176,17.3239
2021-02-04,20.8887,4.2869,0.2289,0.6212,17.3825
2021-02-05,20.8880,4.2849,0.2305,0.6252,17.4204
2021-02-06,20.8880,4.2849,0.2305,0.6252,17.4204
2021-02-07,20.8880,4.2849,0.2305,0.6252,17.4204
2021-02-08,20.9360,4.2954,0.2329,0.6297,17.4765
2021-02-09,21.0575,4.3199,0.2349,0.6331,17.5034
2021-02-10,21.2320,4.3553,0.2371,0.6330,17.5391
2021-02-11,21.2559,4.3603,0.2375,0.6313,17.5314
2021-02-12,21.2129,4.3519,0.2370,0.6291,17.4915
2021-02-13,21.2129,4.3519,0.2370,0.6291,17.4915
2021-02-14,21.2129,4.3519,0.2370,0.6291,17.4915
2021-02-15,21.1373,4.3363,0.2346,0.6265,17.4588
2021-02-16,21.1127,4.3308,0.2375,0.6249,17.4017
2021-02-17,21.1510,4.3376,0.2371,0.6243,17.3861
2021-02-18,20.9748,4.3024,0.2350,0.6237,17.3906
2021-02-19,21.0745,4.3228,0.2368,0.6271,17.4566
2021-02-20,21.0745,4.3228,0.2368,0.6271,17.4566
2021-02-21,21.0745,4.3228,0.2368,0.6271,17.4566
2021-02-22,21.3067,4.3702,0.2372,0.6303,17.5544
2021-02-23,21.3054,4.3695,0.2350,0.6289,17.5548
2021-02-24,21.3035,4.3691,0.2367,0.6277,17.5287
2021-02-25,21.2724,4.3636,0.2378,0.6256,17.4859
2021-02-26,21.3426,4.3784,0.2368,0.6257,17.4546
2021-02-27,21.3426,4.3784,0.2368,0.6257,17.4546
2021-02-28,21.3426,4.3784,0.2368,0.6257,17.4546
2021-03-01,21.1120,4.3302,0.2332,0.6238,17.4385
2021-03-02,21.0442,4.3171,0.2357,0.6238,17.4749
2021-03-03,21.0773,4.3227,0.2376,0.6272,17.5169
2021-03-04,21.1931,4.3455,0.2383,0.6315,17.5695
2021-03-05,21.1524,4.3335,0.2386,0.6337,17.5751
2021-03-06,21.1524,4.3335,0.2386,0.6337,17.5751
2021-03-07,21.1524,4.3335,0.2386,0.6337,17.5751
2021-03-08,21.1524,4.3335,0.2386,0.6337,17.5751
2021-03-09,20.9909,4.2990,0.2359,0.6336,17.5914
2021-03-10,20.9501,4.2891,0.2383,0.6353,17.6000
2021-03-11,20.9737,4.2915,0.2383,0.6358,17.6391
2021-03-12,21.2016,4.3394,0.2403,0.6386,17.7226
2021-03-13,21.2016,4.3394,0.2403,0.6386,17.7226
2021-03-14,21.2016,4.3394,0.2403,0.6386,17.7226
2021-03-15,21.1468,4.3287,0.2408,0.6400,17.7451
2021-03-16,21.1227,4.3244,0.2423,0.6417,17.7160
2021-03-17,21.1687,4.3325,0.2437,0.6399,17.7182
2021-03-18,21.1179,4.3204,0.2409,0.6414,17.7542
2021-03-19,21.2366,4.3456,0.2408,0.6425,17.7854
2021-03-20,21.2366,4.3456,0.2408,0.6425,17.7854
2021-03-21,21.2366,4.3456,0.2408,0.6425,17.7854
2021-03-22,21.1829,4.3353,0.2404,0.6419,17.8015
2021-03-23,21.2544,4.3510,0.2396,0.6436,17.8182
2021-03-24,21.2085,4.3377,0.2351,0.6422,17.8484
2021-03-25,21.1631,4.3303,0.2347,0.6414,17.8826
2021-03-26,21.1529,4.3286,0.2354,0.6411,17.9178
2021-03-27,21.1529,4.3286,0.2354,0.6411,17.9178
2021-03-28,21.1529,4.3286,0.2354,0.6411,17.9178
2021-03-29,21.1537,4.3287,0.2363,0.6424,17.9673
2021-03-30,21.1848,4.3220,0.2368,0.6438,17.9967
2021-03-31,21.1281,4.2947,0.2369,0.6458,18.0081
2021-04-01,21.2000,4.3046,0.2394,0.6488,18.0664
2021-04-02,21.2328,4.3235,0.2375,0.6499,18.0906
2021-04-03,21.2328,4.3235,0.2375,0.6499,18.0906
2021-04-04,21.2328,4.3235,0.2375,0.6499,18.0906
2021-04-05,21.2862,4.3339,0.2372,0.6452,18.0741
2021-04-06,21.2031,4.3135,0.2364,0.6462,18.0460
2021-04-07,21.2680,4.3248,0.2356,0.6478,18.0123
2021-04-08,21.3975,4.3518,0.2318,0.6437,17.9878
2021-04-09,21.3163,4.3341,0.2326,0.6437,17.9679
2021-04-10,21.3163,4.3341,0.2326,0.6437,17.9679
2021-04-11,21.3163,4.3341,0.2326,0.6437,17.9679
2021-04-12,21.3153,4.3312,0.2323,0.6426,17.9347
2021-04-13,21.3161,4.3324,0.2316,0.6407,17.8970
2021-04-14,21.2725,4.3214,0.2320,0.6383,17.8904
2021-04-15,21.3706,4.3404,0.2359,0.6396,17.8774
